Gene_name,ID
CLGN,933
CLIC1,934
CLIC2,935
CLIC4,936
CLINT1,937
CLIP1,938
CLIP2,939
CLIP3,940
CLMN,941
CLN5,942
CLNS1A,943
CLPB,944
CLPTM1,945
CLPX,946
CLSTN1,947
CLSTN2,948
CLSTN3,949
CLTA,950
CLTB,951
CLTC,952
CLU,953
CLUH,954
CLVS1,955
CMAS,956
CMBL,957
CMC1,958
CMC2,959
CMIP,960
CMPK1,961
CMTM4,962
CMTM5,963
CMTR1,964
CNBP,965
CNDP1,966
CNDP2,967
CNIH2,968
CNKSR2,969
CNKSR3,970
CNN1,971
CNN2,972
CNN3,973
CNNM1,974
CNNM2,975
CNNM3,976
CNOT4,977
CNP,978
CNPY2,979
CNPY3,980
CNR1,981
CNRIP1,982
CNST,983
CNTFR,984
CNTN1,985
CNTN2,986
CNTN3,987
CNTN4,988
CNTN5,989
CNTN6,990
CNTNAP1,991
CNTNAP2,992
CNTNAP5,993
COA1,994
COA3,995
COA6,996
COA7,997
COBL,998
COG1,999
COG2,1000
COG3,1001
COG4,1002
COG5,1003
COG6,1004
COG7,1005
COG8,1006
COL11A1,1007
COL12A1,1008
COL14A1,1009
COL18A1,1010
COL1A1,1011
COL1A2,1012
COL23A1,1013
COL25A1,1014
COL2A1,1015
COL4A1,1016
COL4A2,1017
COL4A3BP,1018
COL5A2,1019
COL6A1,1020
COL6A2,1021
COL6A3,1022
COL6A6,1023
COLEC12,1024
COMMD3,1025
COMMD4,1026
COMMD5,1027
COMMD9,1028
COPA,1029
COPB1,1030
COPB2,1031
COPE,1032
COPG1,1033
COPRS,1034
COPS2,1035
COPS3,1036
COPS4,1037
COPS5,1038
COPS6,1039
COPS7A,1040
COPS7B,1041
COPS8,1042
COPZ1,1043
COQ5,1044
COQ9,1045
CORO1A,1046
CORO1B,1047
CORO1C,1048
CORO2A,1049
CORO2B,1050
CORO6,1051
CORO7,1052
COTL1,1053
COX19,1054
COX4I1,1055
COX5A,1056
COX5B,1057
COX6B1,1058
COX6C,1059
COX7A2,1060
COX7A2L,1061
COX7B,1062
COX7C,1063
CP,1064
CPD,1065
CPE,1066
CPEB4,1067
CPLX1,1068
CPLX2,1069
CPLX3,1070
CPM,1071
CPNE2,1072
CPNE3,1073
CPNE4,1074
CPNE5,1075
CPNE6,1076
CPNE7,1077
CPNE8,1078
CPNE9,1079
CPPED1,1080
CPQ,1081
CPSF1,1082
CPSF6,1083
CPSF7,1084
CPT1A,1085
CPT2,1086
CPTP,1087
CPVL,1088
CRAT,1089
CRBN,1090
CREB1,1091
CREB5,1092
